Sensors;Cores
3;0
Time;pc 0;pc 1;pc 2;pc 3;current 0;current 1;current 2;current 3;current 4;current 5;current 6;voltage 0;voltage 1;voltage 2;voltage 3;voltage 4;voltage 5;voltage 6
1.91936;0;0;0;0;0.292858;0.00485774;3.58506;0;0;0;0;5.10625;1.50939;0.0125163;0;0;0;0
1.91945;0;0;0;0;0.303506;0.00485774;0.320755;0;0;0;0;5.1101;1.51016;0.0132881;0;0;0;0
1.91954;0;0;0;0;0.310443;0.00485774;0.320755;0;0;0;0;5.10856;1.50861;0.0125163;0;0;0;0
1.91962;0;0;0;0;0.304312;0.00485774;0.320755;0;0;0;0;5.10856;1.50707;0.0117446;0;0;0;0
1.91971;0;0;0;0;0.308346;0.00485774;1.40886;0;0;0;0;5.10779;1.50861;0.0125163;0;0;0;0
1.9198;0;0;0;0;0.31125;0.00485774;3.58506;0;0;0;0;5.10856;1.51016;0.0132881;0;0;0;0
1.91989;0;0;0;0;0.307055;0.00485774;0.320755;0;0;0;0;5.10625;1.50784;0.0132881;0;0;0;0
1.91997;0;0;0;0;0.312379;0.00485774;1.40886;0;0;0;0;5.10702;1.51093;0.0125163;0;0;0;0
1.92006;0;0;0;0;0.308669;0.00485774;4.67317;0;0;0;0;5.12013;1.5148;0.0125163;0;0;0;0
1.92015;0;0;0;0;0.30286;0.00534186;7.93748;0;0;0;0;5.11936;1.52176;0.0156032;0;0;0;0
1.92023;0;0;0;0;0.304474;0.00526118;20.9947;0;0;0;0;5.1155;1.52254;0.0148315;0;0;0;0
1.92032;0;0;0;0;0.304312;0.00518049;23.1709;0;0;0;0;5.12013;1.52022;0.0156032;0;0;0;0
1.92041;0;0;0;0;0.29673;0.00485774;-1.85545;0;0;0;0;5.09391;1.49546;0.0125163;0;0;0;0
1.92049;0;0;0;0;0.305926;0.00534186;19.9066;0;0;0;0;5.1155;1.52254;0.0171467;0;0;0;0
1.92058;0;0;0;0;0.306087;0.00526118;18.8185;0;0;0;0;5.12245;1.52486;0.0186902;0;0;0;0
1.92067;0;0;0;0;0.302376;0.00485774;-8.38407;0;0;0;0;5.09776;1.49933;0.0109729;0;0;0;0
1.92076;0;0;0;0;0.301731;0.00485774;-9.47217;0;0;0;0;5.10933;1.51093;0.0140598;0;0;0;0
1.92084;0;0;0;0;0.306733;0.00485774;-14.9127;0;0;0;0;5.09699;1.5032;0.0102011;0;0;0;0
1.92093;0;0;0;0;0.298988;0.00485774;-9.47217;0;0;0;0;5.09622;1.5001;0.0109729;0;0;0;0
1.92102;0;0;0;0;0.303828;0.00501911;14.4661;0;0;0;0;5.11319;1.52408;0.016375;0;0;0;0
1.9211;0;0;0;0;0.306894;0.00542255;20.9947;0;0;0;0;5.12013;1.5148;0.0179184;0;0;0;0
1.92119;0;0;0;0;0.29802;0.00485774;-10.5603;0;0;0;0;5.10008;1.49624;0.0117446;0;0;0;0
1.92128;0;0;0;0;0.302054;0.00485774;-14.9127;0;0;0;0;5.10239;1.49856;0.0117446;0;0;0;0
1.92173;0;0;0;0;0.305442;0.00485774;6.84937;0;0;0;0;5.1101;1.51093;0.0132881;0;0;0;0
1.92182;0;0;0;0;0.306087;0.00485774;3.58506;0;0;0;0;5.10933;1.50939;0.0125163;0;0;0;0
1.92191;0;0;0;0;0.310927;0.00485774;4.67317;0;0;0;0;5.10702;1.51093;0.0132881;0;0;0;0
1.92199;0;0;0;0;0.312541;0.00485774;2.49696;0;0;0;0;5.10933;1.51016;0.0125163;0;0;0;0
1.92208;0;0;0;0;0.352068;0.00485774;2.49696;0;0;0;0;5.10856;1.50861;0.0125163;0;0;0;0
1.92217;0;0;0;0;0.375461;0.00485774;2.49696;0;0;0;0;5.1101;1.51016;0.0125163;0;0;0;0
1.92225;0;0;0;0;0.385626;0.00485774;2.49696;0;0;0;0;5.11165;1.50861;0.0125163;0;0;0;0
1.92234;0;0;0;0;0.375784;0.00485774;6.84937;0;0;0;0;5.11242;1.50939;0.0132881;0;0;0;0
1.92243;0;0;0;0;0.347712;0.00485774;1.40886;0;0;0;0;5.11165;1.50707;0.0125163;0;0;0;0
1.92251;0;0;0;0;0.34271;0.00485774;1.40886;0;0;0;0;5.11088;1.51171;0.0125163;0;0;0;0
1.9226;0;0;0;0;0.324641;0.00485774;-0.767349;0;0;0;0;5.11319;1.50707;0.0132881;0;0;0;0
1.92269;0;0;0;0;0.317865;0.00485774;0.320755;0;0;0;0;5.10702;1.50784;0.0125163;0;0;0;0
1.92278;0;0;0;0;0.314477;0.00485774;2.49696;0;0;0;0;5.10702;1.50861;0.0125163;0;0;0;0
1.92286;0;0;0;0;0.308185;0.00485774;1.40886;0;0;0;0;5.10702;1.50861;0.0125163;0;0;0;0
1.92295;0;0;0;0;0.31125;0.00485774;1.40886;0;0;0;0;5.11859;1.51557;0.0125163;0;0;0;0
1.92304;0;0;0;0;0.306087;0.00534186;3.58506;0;0;0;0;5.11936;1.51867;0.0179184;0;0;0;0
1.92312;0;0;0;0;0.303828;0.0050998;22.0828;0;0;0;0;5.11165;1.52486;0.016375;0;0;0;0
1.92321;0;0;0;0;0.302215;0.00485774;-16.0008;0;0;0;0;5.0993;1.49624;0.0117446;0;0;0;0
1.9233;0;0;0;0;0.29431;0.00485774;-11.6484;0;0;0;0;5.10162;1.49778;0.0117446;0;0;0;0
1.92339;0;0;0;0;0.293826;0.00485774;-10.5603;0;0;0;0;5.10162;1.49546;0.0132881;0;0;0;0
1.92347;0;0;0;0;0.295278;0.00501911;17.7304;0;0;0;0;5.12399;1.51944;0.016375;0;0;0;0
1.92356;0;0;0;0;0.315283;0.00485774;-8.38407;0;0;0;0;5.09776;1.50088;0.0102011;0;0;0;0
1.92365;0;0;0;0;0.351584;0.00485774;-7.29597;0;0;0;0;5.09776;1.49469;0.0102011;0;0;0;0
1.92374;0;0;0;0;0.356262;0.00526118;16.6423;0;0;0;0;5.11242;1.52176;0.0156032;0;0;0;0
1.92382;0;0;0;0;0.34029;0.00534186;2.49696;0;0;0;0;5.11782;1.51712;0.0148315;0;0;0;0
1.92391;0;0;0;0;0.323189;0.0050998;9.02558;0;0;0;0;5.11936;1.52099;0.0148315;0;0;0;0
1.924;0;0;0;0;0.303022;0.00485774;-16.0008;0;0;0;0;5.09545;1.50088;0.0117446;0;0;0;0
1.92408;0;0;0;0;0.298504;0.00485774;-6.20787;0;0;0;0;5.10008;1.49701;0.0125163;0;0;0;0
1.92417;0;0;0;0;0.292212;0.0050998;19.9066;0;0;0;0;5.11319;1.51403;0.016375;0;0;0;0
1.92426;0;0;0;0;0.287856;0.00501911;14.4661;0;0;0;0;5.1209;1.51712;0.0156032;0;0;0;0
1.92435;0;0;0;0;0.277692;0.00501911;10.1137;0;0;0;0;5.11859;1.52176;0.0148315;0;0;0;0
1.92443;0;0;0;0;0.273336;0.00534186;18.8185;0;0;0;0;5.11473;1.52331;0.0132881;0;0;0;0
1.92458;0;0;0;0;0.280758;0.00485774;5.76127;0;0;0;0;5.10856;1.50939;0.0132881;0;0;0;0
1.92467;0;0;0;0;0.277692;0.00485774;1.40886;0;0;0;0;5.10548;1.50861;0.0125163;0;0;0;0
1.92475;0;0;0;0;0.276724;0.00485774;2.49696;0;0;0;0;5.10856;1.50784;0.0125163;0;0;0;0
1.92484;0;0;0;0;0.275756;0.00485774;2.49696;0;0;0;0;5.10856;1.51016;0.0125163;0;0;0;0
1.92493;0;0;0;0;0.276079;0.00485774;0.320755;0;0;0;0;5.10702;1.50707;0.0132881;0;0;0;0
1.92501;0;0;0;0;0.276079;0.00485774;0.320755;0;0;0;0;5.10856;1.50939;0.0132881;0;0;0;0
1.9251;0;0;0;0;0.278983;0.00485774;1.40886;0;0;0;0;5.10702;1.50861;0.0125163;0;0;0;0
